"","x"
"1",0.00501275150276061
"2",0.00100746476280973
"3",0.0102761405806592
"4",0.00604478857685838
"5",0.00761195598567351
"6",0.00387778889836198
"7",0.000248967670034143
"8",0.0025063757513803
"9",0.0073401004147566
"10",0.00230924507430545
"11",0.00277733529207007
"12",0.000838868618829326
"13",0.00233548649560437
"14",0.00192077394031014
"15",0.00181878594347951
"16",0.00101743966145141
"17",0.00474283411415042
"18",0.00218641288950197
"19",0.00261812498870299
"20",0.00285448349462757
"21",0.00642258786291203
"22",0.00321129393145601
"23",0.00578937497501929
"24",0.00331488405827718
"25",0.00477960027007407
"26",0.00437282577900393
"27",0.00205522811613185
"28",0.00302239428842919
"29",0.000805971810247784
"30",0.00164418249290548
"31",0.00268657270082595
"32",0.00622796398827833
"33",0.00223394360449114
"34",0.00260155457738209
"35",0.00241791543074335
"36",0.00181878594347951
"37",0.00110496135275906
"38",0.00201492952561946
"39",0.0073401004147566
"40",0.000597450033759258
"41",0.00211879187230088
"42",0.00107603566289626
"43",0.00289468748750965
"44",0.00285448349462757
"45",0.00240847044859201
"46",0.00293604016590264
"47",0.00316188940943361
"48",0.00214086262097068
"49",0.00238980013503703
"50",0.000676061880306529
"51",0.00165744202913859
"52",0.00148929573632743
"53",0.00185155686138004
"54",0.00685076038710616
"55",0.0041104562322637
"56",0.000951494498209189
"57",0.00120188778721161
"58",0.000778495498534791
"59",0.00761195598567351
"60",0.0114179339785103
"61",0.00138866764603503
"62",0.00289468748750965
"63",0.0025063757513803
"64",0.00136107822260387
"65",0.00253731866189117
"66",0.00109320644475098
"67",0.0073401004147566
"68",0.00100255030055212
"69",0.00082209124645274
"70",0.00120895771537168
"71",0.00289468748750965
"72",0.00604478857685838
"73",0.00139811436471554
"74",0.00120895771537168
"75",0.0141739870078059
"76",0.00115462253715272
"77",0.00231792644676524
"78",0.00419434309414663
"79",0.00513807029032962
"80",0.00685076038710616
"81",0.0013090624943515
"82",0.000602706192414032
"83",0.000540849504245223
"84",0.000375041627031359
"85",0.00169154577459411
"86",0.00685076038710616
"87",0.00761195598567351
"88",0.0120895771537168
"89",0.00604478857685838
"90",0.00119490006751852
"91",0.00685076038710616
"92",0.00121611131132062
"93",0.00622796398827833
"94",0.00229634426383447
"95",0.000658726960298669
"96",0.0141739870078059
"97",0.00281538098100253
"98",0.0012233500691261
"99",0.00137015207742123
"100",0.00708699350390293
"101",0.00331488405827718
"102",0.00111093411682803
"103",0.0102761405806592
"104",0.00555467058414013
"105",0.0097868005530088
"106",0.0158094470471681
"107",0.0128451757258241
"108",0.00662976811655435
"109",0.00604478857685838
"110",0.00570896698925514
"111",0.0085634504838827
